"Figure 1: Average weekly earnings for total pay was £596 and regular pay was £555 in January 2022, showing a steady increase over time (except for early on in the coronavirus pandemic) ",,
"Average weekly earnings in Great Britain, seasonally adjusted, January 2000 to January 2022	",,
,,
Notes,,
Unit,"£	",
,,
Period,Total pay,Regular pay
Jan 00,307,293
Feb 00,300,293
Mar 00,310,293
Apr 00,310,293
May 00,312,294
Jun 00,311,295
Jul 00,314,296
Aug 00,315,297
Sep 00,317,299
Oct 00,318,300
Nov 00,320,302
Dec 00,325,303
Jan 01,324,304
Feb 01,326,304
Mar 01,325,306
Apr 01,328,309
May 01,328,309
Jun 01,329,310
Jul 01,329,311
Aug 01,331,313
Sep 01,332,314
Oct 01,333,315
Nov 01,334,316
Dec 01,336,316
Jan 02,336,317
Feb 02,335,320
Mar 02,335,321
Apr 02,338,321
May 02,340,322
Jun 02,341,324
Jul 02,342,324
Aug 02,342,323
Sep 02,342,324
Oct 02,342,325
Nov 02,343,326
Dec 02,344,325
Jan 03,345,328
Feb 03,343,329
Mar 03,348,330
Apr 03,349,331
May 03,349,332
Jun 03,350,333
Jul 03,351,334
Aug 03,353,335
Sep 03,354,336
Oct 03,356,337
Nov 03,356,338
Dec 03,358,339
Jan 04,359,340
Feb 04,354,340
Mar 04,361,341
Apr 04,364,343
May 04,364,344
Jun 04,365,345
Jul 04,367,346
Aug 04,368,348
Sep 04,371,348
Oct 04,373,350
Nov 04,373,351
Dec 04,374,353
Jan 05,377,354
Feb 05,374,354
Mar 05,377,357
Apr 05,378,357
May 05,381,358
Jun 05,381,359
Jul 05,384,361
Aug 05,387,363
Sep 05,388,364
Oct 05,388,365
Nov 05,390,366
Dec 05,391,366
Jan 06,393,368
Feb 06,397,369
Mar 06,398,370
Apr 06,396,371
May 06,398,373
Jun 06,402,375
Jul 06,401,374
Aug 06,401,375
Sep 06,401,377
Oct 06,404,379
Nov 06,406,380
Dec 06,413,381
Jan 07,421,382
Feb 07,426,384
Mar 07,417,385
Apr 07,413,386
May 07,416,388
Jun 07,419,390
Jul 07,420,392
Aug 07,421,393
Sep 07,423,394
Oct 07,421,394
Nov 07,425,396
Dec 07,425,397
Jan 08,439,398
Feb 08,445,400
Mar 08,440,402
Apr 08,430,404
May 08,433,403
Jun 08,432,404
Jul 08,434,405
Aug 08,434,406
Sep 08,434,407
Oct 08,435,408
Nov 08,434,409
Dec 08,436,409
Jan 09,434,409
Feb 09,419,410
Mar 09,435,410
Apr 09,437,411
May 09,436,412
Jun 09,436,412
Jul 09,435,411
Aug 09,436,411
Sep 09,437,413
Oct 09,437,413
Nov 09,439,413
Dec 09,439,415
Jan 10,440,417
Feb 10,442,416
Mar 10,442,418
Apr 10,442,417
